no_of_images,models,class,ap_50,ap_75
200,yolov5n,0,0.986180629,0.874939049
200,yolov5n,1,0.948578342,0.85220053
200,yolov5s,0,0.996808794,0.921930081
200,yolov5s,1,0.957339931,0.927503204
200,yolov5m,0,0.992718557,0.914856585
200,yolov5m,1,0.957983193,0.930325348
200,yolov5l,0,0.986962955,0.915045393
200,yolov5l,1,0.948578342,0.895774597
200,yolov5x,0,0.995537522,0.923604336
200,yolov5x,1,0.948578342,0.879303224
500,yolov5n,0,0.991977561,0.907577082
500,yolov5n,1,0.95682685,0.917991549
500,yolov5s,0,0.996458919,0.935523152
500,yolov5s,1,0.973989321,0.927404213
500,yolov5m,0,0.98110047,0.911507566
500,yolov5m,1,0.957339931,0.893571194
500,yolov5l,0,0.984117582,0.919179173
500,yolov5l,1,0.923751687,0.85887463
500,yolov5x,0,0.988407243,0.900125895
500,yolov5x,1,0.94214876,0.927488085
1000,yolov5n,0,0.992222389,0.926719424
1000,yolov5n,1,0.973989321,0.946652612
1000,yolov5s,0,0.988456354,0.902495675
1000,yolov5s,1,0.97617065,0.936010711
1000,yolov5m,0,0.996808794,0.927601473
1000,yolov5m,1,0.973989321,0.946771016
1000,yolov5l,0,0.990874517,0.89975739
1000,yolov5l,1,0.982758621,0.953671064
1000,yolov5x,0,0.992371184,0.912181699
1000,yolov5x,1,0.973989321,0.95682685
1500,yolov5n,0,0.993559607,0.933565888
1500,yolov5n,1,0.973989321,0.946652612
1500,yolov5s,0,0.992858247,0.923344279
1500,yolov5s,1,0.982758621,0.971584299
1500,yolov5m,0,0.99372205,0.930836573
1500,yolov5m,1,0.982758621,0.955264138
1500,yolov5l,0,0.992789284,0.932462489
1500,yolov5l,1,0.965592861,0.953971135
1500,yolov5x,0,0.992928945,0.910559238
1500,yolov5x,1,0.982758621,0.971584299
2000,yolov5n,0,0.99245628,0.940875482
2000,yolov5n,1,0.982533087,0.958068592
2000,yolov5s,0,0.996458919,0.935871969
2000,yolov5s,1,0.991304348,0.980863196
2000,yolov5m,0,0.99629863,0.945558926
2000,yolov5m,1,0.974358974,0.951191173
2000,yolov5l,0,0.993580432,0.95008288
2000,yolov5l,1,0.982533087,0.972077381
2000,yolov5x,0,0.995092912,0.934039523
2000,yolov5x,1,0.982533087,0.97223044
