no_of_images,models,class,ap_50,ap_75
200,yolov5n,0,0.82705565,0.658296862
200,yolov5n,1,0.838083053,0.307503017
200,yolov5s,0,0.838118809,0.735749464
200,yolov5s,1,0.864630355,0.372326988
200,yolov5m,0,0.83276652,0.681044862
200,yolov5m,1,0.845529335,0.235956825
200,yolov5l,0,0.85768836,0.696363771
200,yolov5l,1,0.85059775,0.291198278
200,yolov5x,0,0.83684331,0.672277522
200,yolov5x,1,0.860692212,0.31626925
500,yolov5n,0,0.930311305,0.796003347
500,yolov5n,1,0.927141142,0.523674519
500,yolov5s,0,0.933628297,0.831171185
500,yolov5s,1,0.955954709,0.625858217
500,yolov5m,0,0.939634509,0.836831253
500,yolov5m,1,0.945869742,0.588379432
500,yolov5l,0,0.952119657,0.817490502
500,yolov5l,1,0.944650568,0.607942704
500,yolov5x,0,0.950770426,0.811524812
500,yolov5x,1,0.933763974,0.669230297
1000,yolov5n,0,0.946137396,0.914600839
1000,yolov5n,1,0.9645098,0.758926839
1000,yolov5s,0,0.963505399,0.895657917
1000,yolov5s,1,0.977103097,0.741861723
1000,yolov5m,0,0.957669864,0.917884711
1000,yolov5m,1,0.976063273,0.763444643
1000,yolov5l,0,0.956618962,0.910751601
1000,yolov5l,1,0.967604944,0.750571402
1000,yolov5x,0,0.962222642,0.877040379
1000,yolov5x,1,0.969664327,0.813664022
1500,yolov5n,0,0.973747307,0.933051445
1500,yolov5n,1,0.982358472,0.828405149
1500,yolov5s,0,0.981199301,0.926312544
1500,yolov5s,1,0.984601103,0.822068222
1500,yolov5m,0,0.965382567,0.938465001
1500,yolov5m,1,0.973933728,0.853952631
1500,yolov5l,0,0.978794094,0.929589001
1500,yolov5l,1,0.968892756,0.88145208
1500,yolov5x,0,0.958412504,0.923659925
1500,yolov5x,1,0.97930756,0.828373253
2000,yolov5n,0,0.975308801,0.927018308
2000,yolov5n,1,0.972311431,0.840990412
2000,yolov5s,0,0.966711967,0.936087246
2000,yolov5s,1,0.965553585,0.834525459
2000,yolov5m,0,0.960588989,0.935817559
2000,yolov5m,1,0.968552672,0.783905679
2000,yolov5l,0,0.966225642,0.92407844
2000,yolov5l,1,0.969036499,0.864008297
2000,yolov5x,0,0.974635766,0.934114602
2000,yolov5x,1,0.963008203,0.824683114
