no_of_images,models,class,ap_50,ap_75
200,yolov5n,0,0.865171435,0.741940671
200,yolov5n,1,0.830955995,0.273723827
200,yolov5s,0,0.903297582,0.706269008
200,yolov5s,1,0.852161351,0.30292004
200,yolov5m,0,0.90152183,0.66872397
200,yolov5m,1,0.841976237,0.342410963
200,yolov5l,0,0.857698528,0.727067977
200,yolov5l,1,0.82082576,0.319126981
200,yolov5x,0,0.863487375,0.58431291
200,yolov5x,1,0.829866464,0.289514714
500,yolov5n,0,0.903247198,0.778300311
500,yolov5n,1,0.887321922,0.34775883
500,yolov5s,0,0.934103852,0.783000518
500,yolov5s,1,0.900459116,0.388367074
500,yolov5m,0,0.930651628,0.776598402
500,yolov5m,1,0.9068901,0.355394947
500,yolov5l,0,0.933573792,0.831567177
500,yolov5l,1,0.907063457,0.391900491
500,yolov5x,0,0.905217308,0.763866571
500,yolov5x,1,0.900544354,0.368700442
1000,yolov5n,0,0.939963691,0.832016565
1000,yolov5n,1,0.924095253,0.432733295
1000,yolov5s,0,0.942711696,0.843344563
1000,yolov5s,1,0.926749214,0.465866943
1000,yolov5m,0,0.940679045,0.849989384
1000,yolov5m,1,0.927490432,0.429214045
1000,yolov5l,0,0.933661266,0.837209492
1000,yolov5l,1,0.921436619,0.42465319
1000,yolov5x,0,0.937787711,0.817182455
1000,yolov5x,1,0.931059379,0.448868845
1500,yolov5n,0,0.947885851,0.846707511
1500,yolov5n,1,0.951584004,0.479985801
1500,yolov5s,0,0.949770397,0.860393371
1500,yolov5s,1,0.953909399,0.431462722
1500,yolov5m,0,0.94029413,0.849269524
1500,yolov5m,1,0.943624769,0.43998778
1500,yolov5l,0,0.935859764,0.846411897
1500,yolov5l,1,0.951994917,0.506192069
1500,yolov5x,0,0.943124029,0.856955173
1500,yolov5x,1,0.949540584,0.453045201
2000,yolov5n,0,0.966719203,0.874518777
2000,yolov5n,1,0.963742211,0.460283304
2000,yolov5s,0,0.959055635,0.868795643
2000,yolov5s,1,0.945419919,0.435644439
2000,yolov5m,0,0.950297453,0.862122071
2000,yolov5m,1,0.946463796,0.484628008
2000,yolov5l,0,0.965362982,0.855689423
2000,yolov5l,1,0.961025588,0.473960497
2000,yolov5x,0,0.953074474,0.864845783
2000,yolov5x,1,0.953232824,0.470867446
