no_of_images,models,class,ap_50,ap_75
200,yolov5n,0,0.923142124,0.866438812
200,yolov5n,1,0.821020702,0.738770689
200,yolov5n,2,0.828143455,0.767475256
200,yolov5s,0,0.936745406,0.904916455
200,yolov5s,1,0.899806143,0.87109198
200,yolov5s,2,0.919052633,0.895793679
200,yolov5m,0,0.948845798,0.928128137
200,yolov5m,1,0.9036626,0.874616567
200,yolov5m,2,0.92835995,0.891024048
200,yolov5l,0,0.955859481,0.93039655
200,yolov5l,1,0.899543966,0.876744421
200,yolov5l,2,0.939028358,0.911158465
200,yolov5x,0,0.940341796,0.913624573
200,yolov5x,1,0.911795434,0.88607865
200,yolov5x,2,0.931451792,0.900068414
500,yolov5n,0,0.951894461,0.920417785
500,yolov5n,1,0.90302739,0.880484361
500,yolov5n,2,0.979995139,0.942485133
500,yolov5s,0,0.954178725,0.932185858
500,yolov5s,1,0.924776462,0.907787336
500,yolov5s,2,0.973543587,0.945084378
500,yolov5m,0,0.95520431,0.936929212
500,yolov5m,1,0.931939571,0.916050589
500,yolov5m,2,0.960856089,0.923765956
500,yolov5l,0,0.959020932,0.937434443
500,yolov5l,1,0.931674512,0.91328822
500,yolov5l,2,0.968052126,0.93860792
500,yolov5x,0,0.954187045,0.934147457
500,yolov5x,1,0.939480755,0.927401889
500,yolov5x,2,0.960995754,0.939752683
1000,yolov5n,0,0.95342994,0.928104724
1000,yolov5n,1,0.917564072,0.901066386
1000,yolov5n,2,0.978939561,0.934056749
1000,yolov5s,0,0.952901809,0.933527
1000,yolov5s,1,0.92444879,0.910754492
1000,yolov5s,2,0.981792783,0.954995666
1000,yolov5m,0,0.960021482,0.939833882
1000,yolov5m,1,0.928993824,0.915486448
1000,yolov5m,2,0.979796401,0.954198184
1000,yolov5l,0,0.962057471,0.941821203
1000,yolov5l,1,0.934569527,0.918310698
1000,yolov5l,2,0.97262454,0.953070446
1500,yolov5x,0,0.960115473,0.944897229
1500,yolov5x,1,0.917977382,0.90556579
1500,yolov5x,2,0.989813602,0.97283416
1500,yolov5n,0,0.959314123,0.937808433
1500,yolov5n,1,0.923265457,0.902521339
1500,yolov5n,2,0.992548382,0.96679557
1500,yolov5s,0,0.953088102,0.934974741
1500,yolov5s,1,0.917267301,0.902727686
1500,yolov5s,2,0.984675789,0.960755601
1500,yolov5m,0,0.958468124,0.938532538
1500,yolov5m,1,0.92573341,0.910815157
1500,yolov5m,2,0.978251327,0.955000395
1500,yolov5l,0,0.961475243,0.945181058
1500,yolov5l,1,0.928944227,0.912101544
1500,yolov5l,2,0.983607879,0.960344656
1500,yolov5x,0,0.963479047,0.94573295
1500,yolov5x,1,0.912207503,0.898581003
1500,yolov5x,2,0.978593747,0.954161691
2000,yolov5n,0,0.9494946,0.925061641
2000,yolov5n,1,0.916183526,0.899981369
2000,yolov5n,2,0.990721329,0.964371735
2000,yolov5s,0,0.949690509,0.933173837
2000,yolov5s,1,0.912576306,0.895108382
2000,yolov5s,2,0.993548319,0.974323227
2000,yolov5m,0,0.965695802,0.942841689
2000,yolov5m,1,0.927716906,0.913975062
2000,yolov5m,2,0.990840543,0.973179359
2000,yolov5l,0,0.963592189,0.945463923
2000,yolov5l,1,0.932521769,0.920450787
2000,yolov5l,2,0.990847752,0.973709864
2000,yolov5x,0,0.959168492,0.944334505
2000,yolov5x,1,0.92732929,0.91363041
2000,yolov5x,2,0.974246686,0.955408287
