no_of_images,models,class,ap_50,ap_75
100,yolov5n,0,0.186085022,0.040223811
100,yolov5n,1,0.686350957,0.324435688
100,yolov5s,0,0.183362741,0.048210923
100,yolov5s,1,0.748883955,0.402333484
100,yolov5m,0,0.167212775,0.069463306
100,yolov5m,1,0.712672882,0.386745592
100,yolov5l,0,0.107397088,0.043300234
100,yolov5l,1,0.789544655,0.348334588
100,yolov5x,0,0.117156869,0.072554109
100,yolov5x,1,0.772592735,0.327303109
200,yolov5n,0,0.247903981,0.080452864
200,yolov5n,1,0.776306992,0.344964574
200,yolov5s,0,0.311348749,0.140735403
200,yolov5s,1,0.844071295,0.474488857
200,yolov5m,0,0.257286832,0.128452403
200,yolov5m,1,0.824161707,0.486456331
200,yolov5l,0,0.312913456,0.127569335
200,yolov5l,1,0.879196067,0.55084016
200,yolov5x,0,0.299086646,0.109316326
200,yolov5x,1,0.830330822,0.488493894
500,yolov5n,0,0.370670104,0.161328306
500,yolov5n,1,0.920406355,0.680118685
500,yolov5s,0,0.439524518,0.24586456
500,yolov5s,1,0.929966781,0.693774279
500,yolov5m,0,0.453748985,0.255996424
500,yolov5m,1,0.917960284,0.725257886
500,yolov5l,0,0.4540677,0.285347734
500,yolov5l,1,0.898054968,0.697985599
500,yolov5x,0,0.397765794,0.248050143
500,yolov5x,1,0.924505423,0.72356378
1000,yolov5n,0,0.440465001,0.226491702
1000,yolov5n,1,0.924186047,0.726551095
1000,yolov5s,0,0.536148674,0.238218112
1000,yolov5s,1,0.936431416,0.705658345
1000,yolov5m,0,0.456225461,0.298707413
1000,yolov5m,1,0.934227949,0.68126064
1000,yolov5l,0,0.494831986,0.289492695
1000,yolov5l,1,0.943709223,0.741745919
1000,yolov5x,0,0.503425707,0.287992158
1000,yolov5x,1,0.928168182,0.760240395
