diff_s,size,model,GPU,camera,fps,trigger,memory
0.02689,640,yolov5s,4080,IS,130fps,daq,32GB
0.028770000000000004,640,yolov5s,4080,IS,130fps,daq,32GB
0.01716,640,yolov5s,4080,IS,130fps,daq,32GB
0.0105,640,yolov5s,4080,IS,130fps,daq,32GB
0.020960000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.02101,640,yolov5s,4080,IS,130fps,daq,32GB
0.016870000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.02324,640,yolov5s,4080,IS,130fps,daq,32GB
0.026480000000000004,640,yolov5s,4080,IS,130fps,daq,32GB
0.02518,640,yolov5s,4080,IS,130fps,daq,32GB
0.01276,640,yolov5s,4080,IS,130fps,daq,32GB
0.013380000000000001,640,yolov5s,4080,IS,130fps,daq,32GB
0.026560000000000004,640,yolov5s,4080,IS,130fps,daq,32GB
0.01725,640,yolov5s,4080,IS,130fps,daq,32GB
0.02288,640,yolov5s,4080,IS,130fps,daq,32GB
0.01769,640,yolov5s,4080,IS,130fps,daq,32GB
0.032940000000000004,640,yolov5s,4080,IS,130fps,daq,32GB
0.01803,640,yolov5s,4080,IS,130fps,daq,32GB
0.018940000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.020870000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.019190000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.017920000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.02748,640,yolov5s,4080,IS,130fps,daq,32GB
0.028090000000000004,640,yolov5s,4080,IS,130fps,daq,32GB
0.02059,640,yolov5s,4080,IS,130fps,daq,32GB
0.020720000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.01105,640,yolov5s,4080,IS,130fps,daq,32GB
0.02247,640,yolov5s,4080,IS,130fps,daq,32GB
0.02816,640,yolov5s,4080,IS,130fps,daq,32GB
0.016540000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.02747,640,yolov5s,4080,IS,130fps,daq,32GB
0.01912,640,yolov5s,4080,IS,130fps,daq,32GB
0.01871,640,yolov5s,4080,IS,130fps,daq,32GB
0.02593,640,yolov5s,4080,IS,130fps,daq,32GB
0.02194,640,yolov5s,4080,IS,130fps,daq,32GB
0.026660000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.0263,640,yolov5s,4080,IS,130fps,daq,32GB
0.026260000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.015500000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.02678,640,yolov5s,4080,IS,130fps,daq,32GB
0.02103,640,yolov5s,4080,IS,130fps,daq,32GB
0.01933,640,yolov5s,4080,IS,130fps,daq,32GB
0.024190000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.017910000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.025890000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.030490000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.025970000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.02014,640,yolov5s,4080,IS,130fps,daq,32GB
0.01263,640,yolov5s,4080,IS,130fps,daq,32GB
0.016300000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.01801,640,yolov5s,4080,IS,130fps,daq,32GB
0.025460000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.020700000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.019350000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.0134,640,yolov5s,4080,IS,130fps,daq,32GB
0.018060000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.02051,640,yolov5s,4080,IS,130fps,daq,32GB
0.02228,640,yolov5s,4080,IS,130fps,daq,32GB
0.013210000000000001,640,yolov5s,4080,IS,130fps,daq,32GB
0.01484,640,yolov5s,4080,IS,130fps,daq,32GB
0.020470000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.02807,640,yolov5s,4080,IS,130fps,daq,32GB
0.022820000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.031420000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.026340000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.027580000000000004,640,yolov5s,4080,IS,130fps,daq,32GB
0.027280000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.018430000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.012100000000000001,640,yolov5s,4080,IS,130fps,daq,32GB
0.01169,640,yolov5s,4080,IS,130fps,daq,32GB
0.0262,640,yolov5s,4080,IS,130fps,daq,32GB
0.027410000000000004,640,yolov5s,4080,IS,130fps,daq,32GB
0.015390000000000001,640,yolov5s,4080,IS,130fps,daq,32GB
0.02944,640,yolov5s,4080,IS,130fps,daq,32GB
0.02885,640,yolov5s,4080,IS,130fps,daq,32GB
0.01305,640,yolov5s,4080,IS,130fps,daq,32GB
0.028970000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.02901,640,yolov5s,4080,IS,130fps,daq,32GB
0.018600000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.021,640,yolov5s,4080,IS,130fps,daq,32GB
0.02772,640,yolov5s,4080,IS,130fps,daq,32GB
0.02032,640,yolov5s,4080,IS,130fps,daq,32GB
0.01898,640,yolov5s,4080,IS,130fps,daq,32GB
0.0198,640,yolov5s,4080,IS,130fps,daq,32GB
0.02619,640,yolov5s,4080,IS,130fps,daq,32GB
0.012220000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.031360000000000006,640,yolov5s,4080,IS,130fps,daq,32GB
0.024960000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.0205,640,yolov5s,4080,IS,130fps,daq,32GB
0.02722,640,yolov5s,4080,IS,130fps,daq,32GB
0.011030000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.01434,640,yolov5s,4080,IS,130fps,daq,32GB
0.02026,640,yolov5s,4080,IS,130fps,daq,32GB
0.02646,640,yolov5s,4080,IS,130fps,daq,32GB
0.033760000000000005,640,yolov5s,4080,IS,130fps,daq,32GB
0.019760000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.012,640,yolov5s,4080,IS,130fps,daq,32GB
0.012480000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.01327,640,yolov5s,4080,IS,130fps,daq,32GB
0.025540000000000004,640,yolov5s,4080,IS,130fps,daq,32GB
0.026350000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.017660000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.02161,640,yolov5s,4080,IS,130fps,daq,32GB
0.020610000000000003,640,yolov5s,4080,IS,130fps,daq,32GB
0.02127,640,yolov5s,4080,IS,130fps,daq,32GB
0.028650000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.013000000000000001,640,yolov5s,4080,IS,130fps,daq,32GB
0.02083,640,yolov5s,4080,IS,130fps,daq,32GB
0.01174,640,yolov5s,4080,IS,130fps,daq,32GB
0.023200000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.0262,640,yolov5s,4080,IS,130fps,daq,32GB
0.01845,640,yolov5s,4080,IS,130fps,daq,32GB
0.027370000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.01947,640,yolov5s,4080,IS,130fps,daq,32GB
0.01913,640,yolov5s,4080,IS,130fps,daq,32GB
0.02517,640,yolov5s,4080,IS,130fps,daq,32GB
0.01898,640,yolov5s,4080,IS,130fps,daq,32GB
0.0176,640,yolov5s,4080,IS,130fps,daq,32GB
0.012480000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.04283000000000001,640,yolov5s,4080,IS,130fps,daq,32GB
0.01958,640,yolov5s,4080,IS,130fps,daq,32GB
0.02365,640,yolov5s,4080,IS,130fps,daq,32GB
0.014180000000000002,640,yolov5s,4080,IS,130fps,daq,32GB
0.029200000000000004,640,yolov5s,4080,IS,130fps,daq,32GB
