,file_name,init_frame,cop_frame,total_frame,wing_extension_frame,rate,group,light_condition
0,240611_CTR_01_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-100910_532049.log_vid.avi,882,11733,10850,2316,0.2134562211981567,pIP10_GtACR1_later,later
1,240611_CTR_02_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-102100_824141.log_vid.avi,3942,36820,32877,8267,0.25145238312498097,pIP10_GtACR1_later,later
2,240611_CTR_03_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-103222_491462.log_vid.avi,1315,18940,17624,4091,0.23212664548343168,pIP10_GtACR1_later,later
3,240611_EXP_04_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-105039_354596.log_vid.avi,2255,177357,175101,15136,0.08644153945437205,pIP10_GtACR1_event,event
4,240611_EXP_05_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-112329_120885.log_vid.avi,3862,32981,29118,7940,0.27268356343155437,pIP10_GtACR1_event,event
5,240612_CTR_01_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-102509_333175.log_vid.avi,0,37080,37079,8131,0.21928854607729442,pIP10_GtACR1_later,later
6,240612_CTR_03_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-104037_639706.log_vid.avi,2314,69871,67556,19669,0.2911510450589141,pIP10_GtACR1_later,later
7,240612_CTR_04_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-110059_822789.log_vid.avi,1673,18966,17292,3303,0.19101318528799444,pIP10_GtACR1_later,later
8,240612_CTR_05_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-110739_155309.log_vid.avi,394,29326,28931,7256,0.25080363623794544,pIP10_GtACR1_later,later
9,240612_EXP_06_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-112712_030571.log_vid.avi,1056,220840,219783,80056,0.3642501922350682,pIP10_GtACR1_event,event
10,240612_EXP_07_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-120616_332678.log_vid.avi,1621,61261,59639,11128,0.18658931236271567,pIP10_GtACR1_event,event
11,240612_EXP_10_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-155315_017386.log_vid.avi,1152,199198,198045,52053,0.26283420434749677,pIP10_GtACR1_event,event
12,240613_CTR_01_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240613-113853_962477.log_vid.avi,1353,23814,22460,5808,0.258593054318789,pIP10_GtACR1_later,later
13,240613_CTR_02_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240613-114906_078099.log_vid.avi,1375,35756,34380,11081,0.32230948225712625,pIP10_GtACR1_later,later
