no_of_images,models,class,ap_50,ap_75
200,SSD,0,0.890303929,0.890303929
200,SSD,1,0.751172486,0.751172486
200,FRCNN,0,0.97676943,0.97676943
200,FRCNN,1,0.798561151,0.798561151
200,yolov5s,0,0.996808794,0.921930081
200,yolov5s,1,0.957339931,0.927503204
500,SSD,0,0.955424502,0.955424502
500,SSD,1,0.947681704,0.947681704
500,FRCNN,0,0.991468399,0.991468399
500,FRCNN,1,0.820143885,0.820143885
500,yolov5s,0,0.996458919,0.935523152
500,yolov5s,1,0.973989321,0.927404213
1000,SSD,0,0.956377667,0.956377667
1000,SSD,1,0.956450862,0.956450862
1000,FRCNN,0,0.99179254,0.99179254
1000,FRCNN,1,0.881958834,0.881958834
1000,yolov5s,0,0.988456354,0.902495675
1000,yolov5s,1,0.97617065,0.936010711
1500,SSD,0,0.947053422,0.947053422
1500,SSD,1,0.948578342,0.948578342
1500,FRCNN,0,0.99362887,0.99362887
1500,FRCNN,1,0.910640422,0.910640422
1500,yolov5s,0,0.992858247,0.923344279
1500,yolov5s,1,0.982758621,0.971584299
2000,SSD,0,0.95009204,0.95009204
2000,SSD,1,0.95682685,0.95682685
2000,FRCNN,0,0.992437567,0.992437567
2000,FRCNN,1,0.933406433,0.933406433
2000,yolov5s,0,0.996458919,0.935871969
2000,yolov5s,1,0.991304348,0.980863196
