no_of_images,models,class,ap_50,ap_75
200,SSD,0,0.463220319,0.433289566
200,SSD,1,0.297160231,0.194309859
200,FRCNN,0,0.807457146,0.807457146
200,FRCNN,1,0.731158491,0.701560322
200,yolov5s,0,0.838118809,0.735749464
200,yolov5s,1,0.864630355,0.372326988
500,SSD,0,0.787572502,0.756655121
500,SSD,1,0.68744661,0.653388598
500,FRCNN,0,0.855685248,0.855685248
500,FRCNN,1,0.749416425,0.739226619
500,yolov5s,0,0.933628297,0.831171185
500,yolov5s,1,0.955954709,0.625858217
1000,SSD,0,0.908329098,0.908329098
1000,SSD,1,0.884031997,0.846970775
1000,FRCNN,0,0.926812084,0.926812084
1000,FRCNN,1,0.854924063,0.849277667
1000,yolov5s,0,0.963505399,0.895657917
1000,yolov5s,1,0.977103097,0.741861723
1500,SSD,0,0.940924978,0.940924978
1500,SSD,1,0.945595192,0.931284289
1500,FRCNN,0,0.940808728,0.940808728
1500,FRCNN,1,0.934032866,0.927151235
1500,yolov5s,0,0.981199301,0.926312544
1500,yolov5s,1,0.984601103,0.822068222
2000,SSD,0,0.937052467,0.937052467
2000,SSD,1,0.946174429,0.934503103
2000,FRCNN,0,0.95257499,0.95257499
2000,FRCNN,1,0.920245639,0.920154279
2000,yolov5s,0,0.966711967,0.936087246
2000,yolov5s,1,0.965553585,0.834525459
