no_of_images,models,class,ap_50,ap_75
200,SSD,0,0.724643666,0.72200528
200,SSD,1,0.015048746,0.008107686
200,FRCNN,0,0.814559371,0.808742939
200,FRCNN,1,0.736352446,0.734912369
200,yolov5s,0,0.903297582,0.706269008
200,yolov5s,1,0.852161351,0.30292004
500,SSD,0,0.83140717,0.83140717
500,SSD,1,0.505540713,0.505540713
500,FRCNN,0,0.776879052,0.776879052
500,FRCNN,1,0.77551534,0.773991516
500,yolov5s,0,0.934103852,0.783000518
500,yolov5s,1,0.900459116,0.388367074
1000,SSD,0,0.854002988,0.854002988
1000,SSD,1,0.73677451,0.73677451
1000,FRCNN,0,0.885868363,0.885868363
1000,FRCNN,1,0.878643486,0.876993383
1000,yolov5s,0,0.942711696,0.843344563
1000,yolov5s,1,0.926749214,0.465866943
1500,SSD,0,0.912746185,0.912746185
1500,SSD,1,0.846761466,0.846761466
1500,FRCNN,0,0.853102006,0.853102006
1500,FRCNN,1,0.902960637,0.901569838
1500,yolov5s,0,0.949770397,0.860393371
1500,yolov5s,1,0.953909399,0.431462722
2000,SSD,0,0.915831721,0.915831721
2000,SSD,1,0.846517376,0.846517376
2000,FRCNN,0,0.892760088,0.892760088
2000,FRCNN,1,0.840397501,0.838332413
2000,yolov5s,0,0.959055635,0.868795643
2000,yolov5s,1,0.945419919,0.435644439
