no_of_images,models,class,ap_50,ap_75
100,SSD,0,0,0
100,SSD,1,0.069767442,0.069767442
100,FRCNN,0,0.176808145,0.134451471
100,FRCNN,1,0.729090987,0.717925295
100,yolov5s,0,0.183362741,0.048210923
100,yolov5s,1,0.748883955,0.402333484
200,SSD,0,0,0
200,SSD,1,0.525569939,0.525569939
200,FRCNN,0,0.243868565,0.215243839
200,FRCNN,1,0.828067251,0.828067251
200,yolov5s,0,0.311348749,0.140735403
200,yolov5s,1,0.844071295,0.474488857
500,SSD,0,0.160246533,0.160246533
500,SSD,1,0.796319912,0.796319912
500,FRCNN,0,0.283615819,0.25469849
500,FRCNN,1,0.856550465,0.856550465
500,yolov5s,0,0.439524518,0.24586456
500,yolov5s,1,0.929966781,0.693774279
1000,SSD,0,0.462885702,0.436598994
1000,SSD,1,0.87375751,0.87375751
1000,FRCNN,0,0.436330649,0.403470888
1000,FRCNN,1,0.907499598,0.907499598
1000,yolov5s,0,0.536148674,0.238218112
1000,yolov5s,1,0.936431416,0.705658345
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
