class,value,class_name,model,training_no
0,0.814633239,fly,yolov5n,200
0,0.800787767,fly,yolov5n,200
0,0.729281594,fly,yolov5n,200
0,0.804340447,fly,yolov5n,200
0,0.832806667,fly,yolov5n,200
0,0.872862658,fly,yolov5n,200
0,0.888691191,fly,yolov5n,200
0,0.881476427,fly,yolov5n,200
0,0.865686651,fly,yolov5n,200
0,0.792944339,fly,yolov5n,200
0,0.809262525,fly,yolov5n,200
0,0.768885943,fly,yolov5n,200
0,0.922537006,fly,yolov5n,200
0,0.633684262,fly,yolov5n,200
0,0.891835445,fly,yolov5n,200
0,0.942175263,fly,yolov5n,200
0,0.874654566,fly,yolov5n,200
0,0.888780769,fly,yolov5n,200
0,0.846407571,fly,yolov5n,200
0,0.883742443,fly,yolov5n,200
0,0.84997668,fly,yolov5n,200
0,0.973223797,fly,yolov5n,200
0,0.89254941,fly,yolov5n,200
0,0.875025594,fly,yolov5n,200
0,0.851986941,fly,yolov5n,200
0,0.89428637,fly,yolov5n,200
0,0.909650474,fly,yolov5n,200
0,0.851066395,fly,yolov5n,200
0,0.874533678,fly,yolov5n,200
0,0.852929958,fly,yolov5n,200
0,0.912941682,fly,yolov5n,200
0,0.960008057,fly,yolov5n,200
0,0.85409167,fly,yolov5n,200
0,0.840184793,fly,yolov5n,200
0,0.835711128,fly,yolov5n,200
0,0.797129856,fly,yolov5n,200
0,0.917268486,fly,yolov5n,200
0,0.906062075,fly,yolov5n,200
0,0.870367783,fly,yolov5n,200
0,0.861696489,fly,yolov5n,200
0,0.893686098,fly,yolov5n,200
0,0.903702182,fly,yolov5n,200
0,0.909858894,fly,yolov5n,200
0,0.849503383,fly,yolov5n,200
0,0.926117679,fly,yolov5n,200
0,0.885869169,fly,yolov5n,200
0,0.847838512,fly,yolov5n,200
0,0.885102704,fly,yolov5n,200
0,0.904831146,fly,yolov5n,200
0,0.93113541,fly,yolov5n,200
0,0.880233994,fly,yolov5n,200
0,0.926682106,fly,yolov5n,200
0,0.873275506,fly,yolov5n,200
0,0.782563093,fly,yolov5n,200
0,0.758330122,fly,yolov5n,200
0,0.902014486,fly,yolov5n,200
0,0.910729131,fly,yolov5n,200
0,0.691673722,fly,yolov5n,200
0,0.560930531,fly,yolov5n,200
0,0.769488206,fly,yolov5n,200
0,0.720657457,fly,yolov5n,200
0,0.630589902,fly,yolov5n,200
0,0.824615494,fly,yolov5n,200
0,0.796530092,fly,yolov5n,200
0,0.748124665,fly,yolov5n,200
0,0.725916003,fly,yolov5n,200
0,0.682379317,fly,yolov5n,200
0,0.792587575,fly,yolov5n,200
0,0.840673973,fly,yolov5n,200
0,0.819839723,fly,yolov5n,200
0,0.570699426,fly,yolov5n,200
0,0.848483119,fly,yolov5n,200
0,0.762686526,fly,yolov5n,200
0,0.752943536,fly,yolov5n,200
0,0.767609808,fly,yolov5n,200
0,0.886503486,fly,yolov5n,200
0,0.837699253,fly,yolov5n,200
0,0.886102973,fly,yolov5n,200
0,0.840204416,fly,yolov5n,200
0,0.723928737,fly,yolov5n,200
0,0.825964912,fly,yolov5n,200
0,0.981017414,fly,yolov5n,200
0,0.917958053,fly,yolov5n,200
0,0.85672569,fly,yolov5n,200
0,0.934752605,fly,yolov5n,200
0,0.27747392,fly,yolov5n,200
0,0.860145063,fly,yolov5n,200
0,0.871578735,fly,yolov5n,200
0,0.920233868,fly,yolov5n,200
0,0.913299621,fly,yolov5n,200
0,0.888941705,fly,yolov5n,200
0,0.802707387,fly,yolov5n,200
0,0.88848799,fly,yolov5n,200
0,0.889905534,fly,yolov5n,200
0,0.874912694,fly,yolov5n,200
0,0.850574883,fly,yolov5n,200
0,0.765663897,fly,yolov5n,200
0,0.897810569,fly,yolov5n,200
0,0.875635873,fly,yolov5n,200
0,0.809738787,fly,yolov5n,200
0,0.782661254,fly,yolov5n,200
0,0.814195581,fly,yolov5n,200
0,0.945017009,fly,yolov5n,200
0,0.87653692,fly,yolov5n,200
0,0.820661608,fly,yolov5n,200
0,0.885318588,fly,yolov5n,200
0,0.860738868,fly,yolov5n,200
0,0.836725361,fly,yolov5n,200
0,0.837036888,fly,yolov5n,200
0,0.870768697,fly,yolov5n,200
0,0.945048586,fly,yolov5n,200
0,0.848587389,fly,yolov5n,200
0,0.870113262,fly,yolov5n,200
0,0.775040427,fly,yolov5n,200
0,0.910181096,fly,yolov5n,200
0,0.829315791,fly,yolov5n,200
0,0.742290797,fly,yolov5n,200
0,0.945848292,fly,yolov5n,200
0,0.889397222,fly,yolov5n,200
0,0.823657491,fly,yolov5n,200
0,0.898044697,fly,yolov5n,200
0,0.878353839,fly,yolov5n,200
0,0.907511504,fly,yolov5n,200
0,0.923077049,fly,yolov5n,200
0,0.880656482,fly,yolov5n,200
0,0.845464066,fly,yolov5n,200
0,0.921482096,fly,yolov5n,200
0,0.775356722,fly,yolov5n,200
0,0.899269452,fly,yolov5n,200
0,0.86423332,fly,yolov5n,200
0,0.791391302,fly,yolov5n,200
0,0.856402797,fly,yolov5n,200
0,0.883313742,fly,yolov5n,200
0,0.894055088,fly,yolov5n,200
0,0.882340661,fly,yolov5n,200
0,0.862528472,fly,yolov5n,200
0,0.869238145,fly,yolov5n,200
0,0.931904787,fly,yolov5n,200
0,0.891694999,fly,yolov5n,200
0,0.902629969,fly,yolov5n,200
0,0.986075914,fly,yolov5n,200
0,0.818930323,fly,yolov5n,200
0,0.84966935,fly,yolov5n,200
0,0.943235589,fly,yolov5n,200
0,0.875585536,fly,yolov5n,200
0,0.853800856,fly,yolov5n,200
0,0.833289111,fly,yolov5n,200
0,0.848878902,fly,yolov5n,200
0,0.850030455,fly,yolov5n,200
0,0.83113544,fly,yolov5n,200
0,0.845886428,fly,yolov5n,200
0,0.827726528,fly,yolov5n,200
0,0.880708092,fly,yolov5n,200
0,0.823281313,fly,yolov5n,200
0,0.949144015,fly,yolov5n,200
0,0.87840804,fly,yolov5n,200
0,0.904099238,fly,yolov5n,200
0,0.839795903,fly,yolov5n,200
0,0.931543019,fly,yolov5n,200
0,0.930320138,fly,yolov5n,200
0,0.977873295,fly,yolov5n,200
0,0.868153047,fly,yolov5n,200
0,0.802086316,fly,yolov5n,200
0,0.852220373,fly,yolov5n,200
0,0.933300228,fly,yolov5n,200
0,0.731140084,fly,yolov5n,200
0,0.791222742,fly,yolov5n,200
0,0.836116867,fly,yolov5n,200
0,0.92429181,fly,yolov5n,200
0,0.868656309,fly,yolov5n,200
0,0.809535338,fly,yolov5n,200
0,0.784292554,fly,yolov5n,200
0,0.845182897,fly,yolov5n,200
0,0.888945982,fly,yolov5n,200
0,0.926383382,fly,yolov5n,200
0,0.792525542,fly,yolov5n,200
0,0.890131444,fly,yolov5n,200
0,0.75993572,fly,yolov5n,200
0,0.845709288,fly,yolov5n,200
0,0.81176684,fly,yolov5n,200
0,0.872770574,fly,yolov5n,200
0,0.893869311,fly,yolov5n,200
0,0.856876817,fly,yolov5n,200
0,0.893714514,fly,yolov5n,200
0,0.914973091,fly,yolov5n,200
0,0.883485562,fly,yolov5n,200
0,0.807728071,fly,yolov5n,200
0,0.871247768,fly,yolov5n,200
0,0.931090877,fly,yolov5n,200
0,0.847813137,fly,yolov5n,200
0,0.773088262,fly,yolov5n,200
0,0.870354602,fly,yolov5n,200
0,0.882209066,fly,yolov5n,200
0,0.731099908,fly,yolov5n,200
0,0.89791953,fly,yolov5n,200
0,0.903316407,fly,yolov5n,200
0,0.820918126,fly,yolov5n,200
0,0.844088643,fly,yolov5n,200
0,0.881077626,fly,yolov5n,200
0,0.911287687,fly,yolov5n,200
0,0.872030568,fly,yolov5n,200
0,0.893637466,fly,yolov5n,200
0,0.806164284,fly,yolov5n,200
0,0.907715497,fly,yolov5n,200
0,0.889152882,fly,yolov5n,200
0,0.906921447,fly,yolov5n,200
0,0.681227209,fly,yolov5n,200
0,0.908003461,fly,yolov5n,200
0,0.897863454,fly,yolov5n,200
0,0.856217311,fly,yolov5n,200
0,0.832556089,fly,yolov5n,200
0,0.961053707,fly,yolov5n,200
0,0.79124655,fly,yolov5n,200
0,0.01741746,fly,yolov5n,200
0,0.869165798,fly,yolov5n,200
0,0.756803515,fly,yolov5n,200
0,0.91320476,fly,yolov5n,200
0,0.001741217,fly,yolov5n,200
0,0.707221757,fly,yolov5n,200
0,0.888144082,fly,yolov5n,200
0,0.862349366,fly,yolov5n,200
0,0.918668354,fly,yolov5n,200
0,0.806224317,fly,yolov5n,200
0,0.881110113,fly,yolov5n,200
0,0.835736914,fly,yolov5n,200
0,0.958354197,fly,yolov5n,200
0,0.8422601,fly,yolov5n,200
0,0.899403373,fly,yolov5n,200
0,0.884802082,fly,yolov5n,200
0,0.833018593,fly,yolov5n,200
0,0.678577816,fly,yolov5n,200
0,0.873477501,fly,yolov5n,200
0,0.91199154,fly,yolov5n,200
0,0.876478927,fly,yolov5n,200
0,0.926244803,fly,yolov5n,200
0,0.824934846,fly,yolov5n,200
0,0.751511955,fly,yolov5n,200
0,0.930839072,fly,yolov5n,200
0,0.857186643,fly,yolov5n,200
0,0.87942296,fly,yolov5n,200
0,0.815919061,fly,yolov5n,200
0,0.914454056,fly,yolov5n,200
0,0.84653031,fly,yolov5n,200
0,0.851532286,fly,yolov5n,200
0,0.862721976,fly,yolov5n,200
0,0.918023403,fly,yolov5n,200
0,0.867013903,fly,yolov5n,200
0,0.873988762,fly,yolov5n,200
0,0.8061287,fly,yolov5n,200
0,0.811315392,fly,yolov5n,200
0,0.822698807,fly,yolov5n,200
0,0.906284081,fly,yolov5n,200
0,0.833744479,fly,yolov5n,200
0,0.813686822,fly,yolov5n,200
0,0.8588886,fly,yolov5n,200
0,0.930042272,fly,yolov5n,200
0,0.830617513,fly,yolov5n,200
0,0.805403911,fly,yolov5n,200
0,0.793260627,fly,yolov5n,200
0,0.868120875,fly,yolov5n,200
0,0.811643461,fly,yolov5n,200
0,0.004629841,fly,yolov5n,200
0,0.782475054,fly,yolov5n,200
0,0.815766572,fly,yolov5n,200
0,0.795653295,fly,yolov5n,200
0,0.885044194,fly,yolov5n,200
0,0.804508349,fly,yolov5n,200
0,0.856362086,fly,yolov5n,200
0,0.742789054,fly,yolov5n,200
0,0.806483688,fly,yolov5n,200
0,0.808988039,fly,yolov5n,200
0,0.854192841,fly,yolov5n,200
0,0.869171522,fly,yolov5n,200
0,0.877540485,fly,yolov5n,200
0,0.90441093,fly,yolov5n,200
0,0.805426901,fly,yolov5n,200
0,0.877672388,fly,yolov5n,200
0,0.022503369,fly,yolov5n,200
0,0.94197499,fly,yolov5n,200
0,0.861531169,fly,yolov5n,200
0,0.830388796,fly,yolov5n,200
0,0.881946389,fly,yolov5n,200
0,0.860632165,fly,yolov5n,200
0,0.810085618,fly,yolov5n,200
0,0.480826659,fly,yolov5n,200
0,0.839471528,fly,yolov5n,200
0,0.831203211,fly,yolov5n,200
0,0.874405185,fly,yolov5n,200
0,0.888542695,fly,yolov5n,200
0,0.900440024,fly,yolov5n,200
0,0.803462896,fly,yolov5n,200
0,0.921559046,fly,yolov5n,200
0,0.929482758,fly,yolov5n,200
0,0.87272751,fly,yolov5n,200
0,0.901534753,fly,yolov5n,200
0,0.877577672,fly,yolov5n,200
0,0.906403725,fly,yolov5n,200
0,0.895084136,fly,yolov5n,200
0,0.813226747,fly,yolov5n,200
0,0.884952527,fly,yolov5n,200
0,0.791858996,fly,yolov5n,200
0,0.898862345,fly,yolov5n,200
0,0.868107155,fly,yolov5n,200
0,0.811583876,fly,yolov5n,200
0,0.936879279,fly,yolov5n,200
0,0.776676314,fly,yolov5n,200
0,0.874469743,fly,yolov5n,200
0,0.829423247,fly,yolov5n,200
0,0.799393539,fly,yolov5n,200
0,0.885822778,fly,yolov5n,200
0,0.870506162,fly,yolov5n,200
0,0.843962381,fly,yolov5n,200
0,0.870651234,fly,yolov5n,200
0,0.93739215,fly,yolov5n,200
0,0.845108679,fly,yolov5n,200
0,0.879448882,fly,yolov5n,200
0,0.869153403,fly,yolov5n,200
0,0.919141138,fly,yolov5n,200
0,0.797606216,fly,yolov5n,200
0,0.880274279,fly,yolov5n,200
0,0.873301425,fly,yolov5n,200
0,0.903335176,fly,yolov5n,200
0,0.835995142,fly,yolov5n,200
0,0.926329628,fly,yolov5n,200
0,0.817636967,fly,yolov5n,200
0,0.751989755,fly,yolov5n,200
0,0.899856819,fly,yolov5n,200
0,0.782156458,fly,yolov5n,200
1,0.916380759,wing_extension,yolov5n,200
1,0.982722635,wing_extension,yolov5n,200
1,0.539988796,wing_extension,yolov5n,200
1,0.786993637,wing_extension,yolov5n,200
1,0.827715083,wing_extension,yolov5n,200
1,0.803496635,wing_extension,yolov5n,200
1,0.746123653,wing_extension,yolov5n,200
