class,value,class_name,model,training_no
0,0.945716061,orientation,yolov5n,200
0,0.876709348,orientation,yolov5n,200
0,0.880452214,orientation,yolov5n,200
0,0.814172997,orientation,yolov5n,200
0,0.864052249,orientation,yolov5n,200
0,0.86346514,orientation,yolov5n,200
0,0.76473077,orientation,yolov5n,200
0,0.703687114,orientation,yolov5n,200
0,0.880550204,orientation,yolov5n,200
0,0.771905947,orientation,yolov5n,200
0,0.8456467,orientation,yolov5n,200
0,0.7658641,orientation,yolov5n,200
0,0.785868949,orientation,yolov5n,200
0,0.922474436,orientation,yolov5n,200
0,0.861856558,orientation,yolov5n,200
0,0.824215133,orientation,yolov5n,200
0,0.864907376,orientation,yolov5n,200
0,0.839711018,orientation,yolov5n,200
0,0.936129496,orientation,yolov5n,200
0,0.766011636,orientation,yolov5n,200
0,0.902038308,orientation,yolov5n,200
0,0.849461825,orientation,yolov5n,200
0,0.837713575,orientation,yolov5n,200
0,0.964660174,orientation,yolov5n,200
0,0.87148841,orientation,yolov5n,200
0,0.928110123,orientation,yolov5n,200
0,0.937303841,orientation,yolov5n,200
0,0.936247624,orientation,yolov5n,200
0,0.929178913,orientation,yolov5n,200
0,0.851412687,orientation,yolov5n,200
0,0.879555985,orientation,yolov5n,200
0,0.842907569,orientation,yolov5n,200
0,0.913423496,orientation,yolov5n,200
0,0.852374725,orientation,yolov5n,200
0,0.853141568,orientation,yolov5n,200
0,0.826863,orientation,yolov5n,200
0,0.878504747,orientation,yolov5n,200
0,0.773906436,orientation,yolov5n,200
0,0.791501317,orientation,yolov5n,200
0,0.796130233,orientation,yolov5n,200
0,0.863835152,orientation,yolov5n,200
0,0.82910761,orientation,yolov5n,200
0,0.923459814,orientation,yolov5n,200
0,0.889408772,orientation,yolov5n,200
0,0.887549774,orientation,yolov5n,200
0,0.790464611,orientation,yolov5n,200
0,0.915336144,orientation,yolov5n,200
0,0.86843729,orientation,yolov5n,200
0,0.819213932,orientation,yolov5n,200
0,0.893458246,orientation,yolov5n,200
0,0.780461854,orientation,yolov5n,200
0,0.811245752,orientation,yolov5n,200
0,0.862268924,orientation,yolov5n,200
0,0.917679362,orientation,yolov5n,200
0,0.79618428,orientation,yolov5n,200
0,0.841607703,orientation,yolov5n,200
0,0.848396055,orientation,yolov5n,200
0,0.788730078,orientation,yolov5n,200
0,0.747015382,orientation,yolov5n,200
0,0.79652553,orientation,yolov5n,200
0,0.810797366,orientation,yolov5n,200
0,0.804878973,orientation,yolov5n,200
0,0.870684079,orientation,yolov5n,200
0,0.910803621,orientation,yolov5n,200
0,0.935672101,orientation,yolov5n,200
0,0.772047229,orientation,yolov5n,200
0,0.930822159,orientation,yolov5n,200
0,0.866690872,orientation,yolov5n,200
0,0.846770512,orientation,yolov5n,200
0,0.835700878,orientation,yolov5n,200
0,0.88415699,orientation,yolov5n,200
0,0.930918419,orientation,yolov5n,200
0,0.859271875,orientation,yolov5n,200
0,0.891460096,orientation,yolov5n,200
0,0.90822812,orientation,yolov5n,200
0,0.815799999,orientation,yolov5n,200
0,0.861703297,orientation,yolov5n,200
0,0.884954571,orientation,yolov5n,200
0,0.919130739,orientation,yolov5n,200
0,0.815541678,orientation,yolov5n,200
0,0.856169084,orientation,yolov5n,200
0,0.815271926,orientation,yolov5n,200
0,0.836781588,orientation,yolov5n,200
0,0.796899266,orientation,yolov5n,200
0,0.797453729,orientation,yolov5n,200
0,0.861141523,orientation,yolov5n,200
0,0.937904842,orientation,yolov5n,200
0,0.917867521,orientation,yolov5n,200
0,0.863099458,orientation,yolov5n,200
0,0.7253001,orientation,yolov5n,200
0,0.914484282,orientation,yolov5n,200
0,0.779740489,orientation,yolov5n,200
0,0.925439624,orientation,yolov5n,200
0,0.889108667,orientation,yolov5n,200
0,0.571915629,orientation,yolov5n,200
0,0.866441129,orientation,yolov5n,200
0,0.814405563,orientation,yolov5n,200
0,0.711336644,orientation,yolov5n,200
0,0.896608206,orientation,yolov5n,200
0,0.864890424,orientation,yolov5n,200
0,0.920571715,orientation,yolov5n,200
0,0.83673009,orientation,yolov5n,200
0,0.874356258,orientation,yolov5n,200
0,0.902757451,orientation,yolov5n,200
0,0.793101552,orientation,yolov5n,200
0,0.886312488,orientation,yolov5n,200
0,0.724454918,orientation,yolov5n,200
0,0.752810105,orientation,yolov5n,200
0,0.789312424,orientation,yolov5n,200
0,0.853619156,orientation,yolov5n,200
0,0.680178117,orientation,yolov5n,200
0,0.840517668,orientation,yolov5n,200
0,0.832716153,orientation,yolov5n,200
0,0.948278301,orientation,yolov5n,200
0,0.883686665,orientation,yolov5n,200
0,0.869062332,orientation,yolov5n,200
0,0.893066813,orientation,yolov5n,200
0,0.893638076,orientation,yolov5n,200
0,0.769319107,orientation,yolov5n,200
0,0.768082829,orientation,yolov5n,200
0,0.886942679,orientation,yolov5n,200
0,0.933430963,orientation,yolov5n,200
0,0.87221725,orientation,yolov5n,200
0,0.881390545,orientation,yolov5n,200
0,0.836126126,orientation,yolov5n,200
0,0.761879898,orientation,yolov5n,200
0,0.73735218,orientation,yolov5n,200
0,0.885471594,orientation,yolov5n,200
0,0.761294757,orientation,yolov5n,200
0,0.888010777,orientation,yolov5n,200
0,0.923594855,orientation,yolov5n,200
0,0.966004473,orientation,yolov5n,200
0,0.894229174,orientation,yolov5n,200
0,0.90610469,orientation,yolov5n,200
0,0.906186323,orientation,yolov5n,200
0,0.88926848,orientation,yolov5n,200
0,0.833370096,orientation,yolov5n,200
0,0.816694874,orientation,yolov5n,200
0,0.826390647,orientation,yolov5n,200
0,0.760040055,orientation,yolov5n,200
0,0.740920363,orientation,yolov5n,200
0,0.817270198,orientation,yolov5n,200
0,0.871028567,orientation,yolov5n,200
0,0.7944099,orientation,yolov5n,200
0,0.899555769,orientation,yolov5n,200
0,0.865756486,orientation,yolov5n,200
0,0.85458988,orientation,yolov5n,200
0,0.855381137,orientation,yolov5n,200
0,0.911814383,orientation,yolov5n,200
0,0.855661874,orientation,yolov5n,200
0,0.803451104,orientation,yolov5n,200
0,0.78506785,orientation,yolov5n,200
0,0.915281312,orientation,yolov5n,200
0,0.891423408,orientation,yolov5n,200
0,0.878802613,orientation,yolov5n,200
0,0.952564828,orientation,yolov5n,200
0,0.893618101,orientation,yolov5n,200
0,0.818447218,orientation,yolov5n,200
0,0.897950896,orientation,yolov5n,200
0,0.85480685,orientation,yolov5n,200
0,0.901292471,orientation,yolov5n,200
0,0.838837513,orientation,yolov5n,200
0,0.920277089,orientation,yolov5n,200
0,0.85128855,orientation,yolov5n,200
0,0.902821776,orientation,yolov5n,200
0,0.819154565,orientation,yolov5n,200
0,0.760523196,orientation,yolov5n,200
0,0.660526627,orientation,yolov5n,200
0,0.918069149,orientation,yolov5n,200
0,0.891934375,orientation,yolov5n,200
0,0.793567494,orientation,yolov5n,200
0,0.836912217,orientation,yolov5n,200
0,0.851399118,orientation,yolov5n,200
0,0.741937451,orientation,yolov5n,200
0,0.711396673,orientation,yolov5n,200
0,0.757344664,orientation,yolov5n,200
0,0.896488478,orientation,yolov5n,200
0,0.890905808,orientation,yolov5n,200
0,0.884048952,orientation,yolov5n,200
0,0.957645995,orientation,yolov5n,200
0,0.934546161,orientation,yolov5n,200
0,0.921385092,orientation,yolov5n,200
0,0.830065871,orientation,yolov5n,200
0,0.900608253,orientation,yolov5n,200
0,0.870456966,orientation,yolov5n,200
0,0.90193863,orientation,yolov5n,200
0,0.928909949,orientation,yolov5n,200
0,0.903206387,orientation,yolov5n,200
0,0.783813064,orientation,yolov5n,200
0,0.925253716,orientation,yolov5n,200
0,0.910419549,orientation,yolov5n,200
0,0.947379265,orientation,yolov5n,200
0,0.851698661,orientation,yolov5n,200
0,0.827400794,orientation,yolov5n,200
0,0.790999911,orientation,yolov5n,200
0,0.763403026,orientation,yolov5n,200
0,0.903315109,orientation,yolov5n,200
0,0.90065008,orientation,yolov5n,200
0,0.845756551,orientation,yolov5n,200
0,0.882844536,orientation,yolov5n,200
0,0.856220821,orientation,yolov5n,200
0,0.901615384,orientation,yolov5n,200
0,0.9011622,orientation,yolov5n,200
0,0.815995119,orientation,yolov5n,200
0,0.877106469,orientation,yolov5n,200
0,0.897208452,orientation,yolov5n,200
0,0.843872743,orientation,yolov5n,200
0,0.861145168,orientation,yolov5n,200
0,0.840376228,orientation,yolov5n,200
0,0.886586773,orientation,yolov5n,200
0,0.826221955,orientation,yolov5n,200
0,0.852454355,orientation,yolov5n,200
0,0.870784659,orientation,yolov5n,200
0,0.654344324,orientation,yolov5n,200
0,0.894576812,orientation,yolov5n,200
0,0.887911875,orientation,yolov5n,200
0,0.752384228,orientation,yolov5n,200
0,0.76301426,orientation,yolov5n,200
0,0.802755161,orientation,yolov5n,200
0,0.87861921,orientation,yolov5n,200
0,0.857787249,orientation,yolov5n,200
0,0.806915608,orientation,yolov5n,200
0,0.717861028,orientation,yolov5n,200
0,0.679169533,orientation,yolov5n,200
0,0.854839312,orientation,yolov5n,200
0,0.937748263,orientation,yolov5n,200
0,0.877839656,orientation,yolov5n,200
0,0.915348744,orientation,yolov5n,200
0,0.736191878,orientation,yolov5n,200
0,0.731839672,orientation,yolov5n,200
0,0.773196411,orientation,yolov5n,200
0,0.825073912,orientation,yolov5n,200
0,0.893706283,orientation,yolov5n,200
0,0.86397684,orientation,yolov5n,200
0,0.857024362,orientation,yolov5n,200
0,0.702411521,orientation,yolov5n,200
0,0.827549836,orientation,yolov5n,200
0,0.675908008,orientation,yolov5n,200
0,0.783602432,orientation,yolov5n,200
0,0.832393521,orientation,yolov5n,200
0,0.911130292,orientation,yolov5n,200
0,0.78594818,orientation,yolov5n,200
0,0.728928172,orientation,yolov5n,200
0,0.90971539,orientation,yolov5n,200
0,0.870350278,orientation,yolov5n,200
0,0.877771512,orientation,yolov5n,200
0,0.847271049,orientation,yolov5n,200
0,0.727397258,orientation,yolov5n,200
0,0.904838412,orientation,yolov5n,200
0,0.847783373,orientation,yolov5n,200
0,0.776910349,orientation,yolov5n,200
0,0.799020764,orientation,yolov5n,200
