diff_s,size,model,GPU,camera,fps,trigger,memory
0.02655,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.0263,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027930000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.04583,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.029720000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02832,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.04517,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.014320000000000001,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.020370000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.020870000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028820000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02755,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.024020000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02187,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02619,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02721,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027760000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.028280000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.022430000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027330000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02578,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01013,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027070000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.01965,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02084,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.027280000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03186,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02085,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.02917,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03325,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.025740000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.021650000000000003,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.037070000000000006,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.03588,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.013620000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.030730000000000004,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.026180000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
0.025330000000000002,640,yolov5s,4080,IS,100fps,arduinostraight,32GB
