no_of_images,models,class,ap_50,ap_75
200,SSD,0,0.034245039,0.034245039
200,SSD,1,0,0
200,SSD,2,0.089285714,0.089285714
200,FRCNN,0,0.925922792,0.925922501
200,FRCNN,1,0.796130578,0.794931129
200,FRCNN,2,0.882527341,0.882527341
200,yolov5s,0,0.936745406,0.904916455
200,yolov5s,1,0.899806143,0.87109198
200,yolov5s,2,0.919052633,0.895793679
500,SSD,0,0.361167339,0.358987234
500,SSD,1,0.133777921,0.133777921
500,SSD,2,0.470238095,0.470238095
500,FRCNN,0,0.954465384,0.954465286
500,FRCNN,1,0.855543613,0.855543613
500,FRCNN,2,0.922486947,0.922486947
500,yolov5s,0,0.954178725,0.932185858
500,yolov5s,1,0.924776462,0.907787336
500,yolov5s,2,0.973543587,0.945084378
1000,SSD,0,0.379695696,0.377965384
1000,SSD,1,0.244786945,0.244786945
1000,SSD,2,0.623125709,0.623125709
1000,FRCNN,0,0.965381188,0.965381188
1000,FRCNN,1,0.900137953,0.900137953
1000,FRCNN,2,0.96376603,0.96376603
1000,yolov5s,0,0.952901809,0.933527
1000,yolov5s,1,0.92444879,0.910754492
1000,yolov5s,2,0.981792783,0.954995666
1500,SSD,0,0.420835472,0.419668705
1500,SSD,1,0.354992975,0.354992975
1500,SSD,2,0.680986747,0.680986747
1500,FRCNN,0,0.969689939,0.969689939
1500,FRCNN,1,0.900274022,0.900274022
1500,FRCNN,2,0.946585563,0.946585563
1500,yolov5s,0,0.953088102,0.934974741
1500,yolov5s,1,0.917267301,0.902727686
1500,yolov5s,2,0.984675789,0.960755601
2000,SSD,0,0.460512333,0.460038933
2000,SSD,1,0.392636203,0.392636203
2000,SSD,2,0.727678571,0.727678571
2000,FRCNN,0,0.970617654,0.970617654
2000,FRCNN,1,0.921231619,0.921231619
2000,FRCNN,2,0.971664515,0.971664515
2000,yolov5s,0,0.949690509,0.933173837
2000,yolov5s,1,0.912576306,0.895108382
2000,yolov5s,2,0.993548319,0.974323227
