class,value,class_name,model,training_no
0,0.768384568,trophallaxis,yolov5n,200
0,0.876191165,trophallaxis,yolov5n,200
0,0.852942169,trophallaxis,yolov5n,200
0,0.953670377,trophallaxis,yolov5n,200
0,0.664645744,trophallaxis,yolov5n,200
0,0.679362405,trophallaxis,yolov5n,200
0,0.772956209,trophallaxis,yolov5n,200
0,0.915999812,trophallaxis,yolov5n,200
0,0.87035864,trophallaxis,yolov5n,200
0,0.827157306,trophallaxis,yolov5n,200
0,0.742185135,trophallaxis,yolov5n,200
0,0.84858588,trophallaxis,yolov5n,200
0,0.844670902,trophallaxis,yolov5n,200
0,0.788768251,trophallaxis,yolov5n,200
0,0.782711518,trophallaxis,yolov5n,200
0,0.791008977,trophallaxis,yolov5n,200
0,0.945916837,trophallaxis,yolov5n,200
0,0.870775186,trophallaxis,yolov5n,200
0,0.911903821,trophallaxis,yolov5n,200
0,0.775432012,trophallaxis,yolov5n,200
0,0.850029663,trophallaxis,yolov5n,200
0,0.796792454,trophallaxis,yolov5n,200
0,0.870679018,trophallaxis,yolov5n,200
0,0.579252912,trophallaxis,yolov5n,200
0,0.680993976,trophallaxis,yolov5n,200
0,0.788354951,trophallaxis,yolov5n,200
0,0.905355132,trophallaxis,yolov5n,200
0,0.845861851,trophallaxis,yolov5n,200
0,0.876027948,trophallaxis,yolov5n,200
0,0.858002005,trophallaxis,yolov5n,200
0,0.90398261,trophallaxis,yolov5n,200
0,0.850133307,trophallaxis,yolov5n,200
0,0.871728991,trophallaxis,yolov5n,200
0,0.694325525,trophallaxis,yolov5n,200
0,0.868013312,trophallaxis,yolov5n,200
0,0.839948286,trophallaxis,yolov5n,200
0,0.786859297,trophallaxis,yolov5n,200
0,0.712717466,trophallaxis,yolov5n,200
0,0.795323015,trophallaxis,yolov5n,200
0,0.842476102,trophallaxis,yolov5n,200
0,0.813762221,trophallaxis,yolov5n,200
0,0.938369725,trophallaxis,yolov5n,200
0,0.766057388,trophallaxis,yolov5n,200
0,0.740767409,trophallaxis,yolov5n,200
0,0.909002043,trophallaxis,yolov5n,200
0,0.826706536,trophallaxis,yolov5n,200
0,0.988815746,trophallaxis,yolov5n,200
0,0.811562295,trophallaxis,yolov5n,200
0,0.677058809,trophallaxis,yolov5n,200
0,0.70793166,trophallaxis,yolov5n,200
0,0.818081624,trophallaxis,yolov5n,200
0,0.668330523,trophallaxis,yolov5n,200
0,0.891458328,trophallaxis,yolov5n,200
0,0.927212055,trophallaxis,yolov5n,200
0,0.726350172,trophallaxis,yolov5n,200
