class,value,class_name,model,training_no
0,0.7924025882995092,no_trophallaxis,yolo5n,100
0,0.17568790206472207,no_trophallaxis,yolo5n,100
0,0.8439725651270241,no_trophallaxis,yolo5n,100
0,0.7272961832824411,no_trophallaxis,yolo5n,100
0,0.5475146447606606,no_trophallaxis,yolo5n,100
0,0.774400098,no_trophallaxis,yolo5n,100
0,0.7895991011226996,no_trophallaxis,yolo5n,100
0,0.030856654889739144,no_trophallaxis,yolo5n,100
0,0.8098975927219281,no_trophallaxis,yolo5n,100
0,0.00018612,no_trophallaxis,yolo5n,100
0,2.6130970674682545e-05,no_trophallaxis,yolo5n,100
0,0.4746801130430324,no_trophallaxis,yolo5n,100
0,0.6350036058223972,no_trophallaxis,yolo5n,100
0,0.5744662365380511,no_trophallaxis,yolo5n,100
0,0.7013142508208798,no_trophallaxis,yolo5n,100
0,0.727485243,no_trophallaxis,yolo5n,100
0,0.8753992105665592,no_trophallaxis,yolo5n,100
0,0.5911766959073593,no_trophallaxis,yolo5n,100
0,0.7583939878027647,no_trophallaxis,yolo5n,100
0,0.5896194576676917,no_trophallaxis,yolo5n,100
0,0.6825765587821059,no_trophallaxis,yolo5n,100
0,0.19602991262788624,no_trophallaxis,yolo5n,100
0,0.6803204915536183,no_trophallaxis,yolo5n,100
0,0.7143670324788881,no_trophallaxis,yolo5n,100
0,0.810506609,no_trophallaxis,yolo5n,100
0,0.9092516595731868,no_trophallaxis,yolo5n,100
0,0.9138241518929368,no_trophallaxis,yolo5n,100
0,0.7730307860642743,no_trophallaxis,yolo5n,100
0,0.5990694631003911,no_trophallaxis,yolo5n,100
0,0.8843555217573796,no_trophallaxis,yolo5n,100
0,0.666261965,no_trophallaxis,yolo5n,100
0,0.025069292,no_trophallaxis,yolo5n,100
0,0.6977981619265597,no_trophallaxis,yolo5n,100
0,0.6270348022359954,no_trophallaxis,yolo5n,100
0,0.687676393,no_trophallaxis,yolo5n,100
0,0.5979815021417354,no_trophallaxis,yolo5n,100
0,0.7576028372808674,no_trophallaxis,yolo5n,100
0,0.9327678925165003,no_trophallaxis,yolo5n,100
0,0.4315767347942761,no_trophallaxis,yolo5n,100
0,0.5697700910438215,no_trophallaxis,yolo5n,100
1,0.6178199400080194,trophallaxis,yolo5n,100
1,0.1273514504907259,trophallaxis,yolo5n,100
1,0.8469771832099373,trophallaxis,yolo5n,100
1,0.8444609572547693,trophallaxis,yolo5n,100
1,0.7572343482431673,trophallaxis,yolo5n,100
1,0.5795939341263883,trophallaxis,yolo5n,100
1,0.7788177957330759,trophallaxis,yolo5n,100
1,0.8255576400729678,trophallaxis,yolo5n,100
1,0.8076146768553794,trophallaxis,yolo5n,100
1,0.7557967388013328,trophallaxis,yolo5n,100
1,0.810743866,trophallaxis,yolo5n,100
1,0.786020167,trophallaxis,yolo5n,100
1,0.857871798,trophallaxis,yolo5n,100
1,0.6838240914946497,trophallaxis,yolo5n,100
