Observation duration,Time offset (s),Media duration (s),FPS,Behavior,Behavior type,Time,Image index
1714.2,0,1804.833,30,trophalaxis,START,7.1,213
1714.2,0,1804.833,30,trophalaxis,STOP,18.467,554
1714.2,0,1804.833,30,trophalaxis,START,22.833,685
1714.2,0,1804.833,30,trophalaxis,STOP,26.4,792
1714.2,0,1804.833,30,trophalaxis,START,45.433,1363
1714.2,0,1804.833,30,trophalaxis,STOP,58.367,1751
1714.2,0,1804.833,30,trophalaxis,START,59.1,1773
1714.2,0,1804.833,30,trophalaxis,STOP,59.867,1796
1714.2,0,1804.833,30,trophalaxis,START,60.767,1823
1714.2,0,1804.833,30,trophalaxis,STOP,68.667,2060
1714.2,0,1804.833,30,trophalaxis,START,69.067,2072
1714.2,0,1804.833,30,trophalaxis,STOP,69.533,2086
1714.2,0,1804.833,30,trophalaxis,START,79.233,2377
1714.2,0,1804.833,30,trophalaxis,STOP,90.733,2722
1714.2,0,1804.833,30,trophalaxis,START,91.833,2755
1714.2,0,1804.833,30,trophalaxis,STOP,97.333,2920
1714.2,0,1804.833,30,trophalaxis,START,112.267,3368
1714.2,0,1804.833,30,trophalaxis,STOP,143.7,4311
1714.2,0,1804.833,30,trophalaxis,START,160.033,4801
1714.2,0,1804.833,30,trophalaxis,STOP,199.633,5989
1714.2,0,1804.833,30,trophalaxis,START,200.833,6025
1714.2,0,1804.833,30,trophalaxis,STOP,211.067,6332
1714.2,0,1804.833,30,trophalaxis,START,216.767,6503
1714.2,0,1804.833,30,trophalaxis,STOP,246.033,7381
1714.2,0,1804.833,30,trophalaxis,START,246.767,7403
1714.2,0,1804.833,30,trophalaxis,STOP,274.567,8237
1714.2,0,1804.833,30,trophalaxis,START,275.233,8257
1714.2,0,1804.833,30,trophalaxis,STOP,276.033,8281
1714.2,0,1804.833,30,trophalaxis,START,283.833,8515
1714.2,0,1804.833,30,trophalaxis,STOP,290.033,8701
1714.2,0,1804.833,30,trophalaxis,START,297.833,8935
1714.2,0,1804.833,30,trophalaxis,STOP,306.8,9204
1714.2,0,1804.833,30,trophalaxis,START,337.533,10126
1714.2,0,1804.833,30,trophalaxis,STOP,347.9,10437
1714.2,0,1804.833,30,trophalaxis,START,370.5,11115
1714.2,0,1804.833,30,trophalaxis,STOP,377.233,11317
1714.2,0,1804.833,30,trophalaxis,START,391.7,11751
