Observation duration,Time offset (s),Media duration (s),FPS,Behavior,Behavior type,Time,Image index
296.334,0,299.795,30,orientation,START,1.263,38
296.334,0,299.795,30,orientation,STOP,1.597,48
296.334,0,299.795,30,orientation,START,1.797,54
296.334,0,299.795,30,orientation,STOP,4.997,150
296.334,0,299.795,30,orientation,START,5.097,153
296.334,0,299.795,30,orientation,STOP,5.83,175
296.334,0,299.795,30,orientation,START,6.13,184
296.334,0,299.795,30,orientation,STOP,6.797,204
296.334,0,299.795,30,orientation,START,7.03,211
296.334,0,299.795,30,orientation,STOP,10.263,308
296.334,0,299.795,30,orientation,START,10.397,312
296.334,0,299.795,30,orientation,STOP,10.597,318
296.334,0,299.795,30,orientation,START,10.83,325
296.334,0,299.795,30,orientation,STOP,11.797,354
296.334,0,299.795,30,orientation,START,11.897,357
296.334,0,299.795,30,orientation,STOP,13.53,406
296.334,0,299.795,30,orientation,START,13.83,415
296.334,0,299.795,30,orientation,STOP,14.33,430
296.334,0,299.795,30,orientation,START,14.73,442
296.334,0,299.795,30,orientation,STOP,15.063,452
296.334,0,299.795,30,orientation,START,15.197,456
296.334,0,299.795,30,orientation,STOP,15.43,463
296.334,0,299.795,30,orientation,START,17.063,512
296.334,0,299.795,30,orientation,STOP,17.497,525
296.334,0,299.795,30,orientation,START,17.563,527
296.334,0,299.795,30,orientation,STOP,19.063,572
296.334,0,299.795,30,orientation,START,19.463,584
296.334,0,299.795,30,orientation,STOP,19.697,591
296.334,0,299.795,30,orientation,START,19.73,592
296.334,0,299.795,30,orientation,STOP,20.43,613
296.334,0,299.795,30,orientation,START,20.83,625
296.334,0,299.795,30,orientation,STOP,23.463,704
296.334,0,299.795,30,orientation,START,23.53,706
296.334,0,299.795,30,orientation,STOP,29.63,889
296.334,0,299.795,30,orientation,START,30.83,925
296.334,0,299.795,30,orientation,STOP,30.93,928
296.334,0,299.795,30,orientation,START,31.163,935
296.334,0,299.795,30,orientation,STOP,38.43,1153
296.334,0,299.795,30,orientation,START,40.33,1210
296.334,0,299.795,30,orientation,STOP,41.163,1235
296.334,0,299.795,30,orientation,START,42.897,1287
296.334,0,299.795,30,orientation,STOP,43.063,1292
296.334,0,299.795,30,orientation,START,43.663,1310
296.334,0,299.795,30,orientation,STOP,44.43,1333
296.334,0,299.795,30,orientation,START,45.43,1363
296.334,0,299.795,30,orientation,STOP,49.197,1476
296.334,0,299.795,30,orientation,START,49.397,1482
296.334,0,299.795,30,orientation,STOP,49.663,1490
296.334,0,299.795,30,orientation,START,50.93,1528
296.334,0,299.795,30,orientation,STOP,55.063,1652
296.334,0,299.795,30,orientation,START,55.497,1665
296.334,0,299.795,30,orientation,STOP,56.23,1687
296.334,0,299.795,30,orientation,START,56.43,1693
296.334,0,299.795,30,orientation,STOP,56.963,1709
296.334,0,299.795,30,orientation,START,57.197,1716
296.334,0,299.795,30,orientation,STOP,57.63,1729
296.334,0,299.795,30,orientation,START,57.797,1734
296.334,0,299.795,30,orientation,STOP,60.997,1830
296.334,0,299.795,30,orientation,START,61.397,1842
296.334,0,299.795,30,orientation,STOP,61.63,1849
296.334,0,299.795,30,orientation,START,61.93,1858
296.334,0,299.795,30,orientation,STOP,62.197,1866
296.334,0,299.795,30,orientation,START,63.33,1900
296.334,0,299.795,30,orientation,STOP,63.397,1902
296.334,0,299.795,30,orientation,START,66.363,1991
296.334,0,299.795,30,orientation,STOP,67.697,2031
296.334,0,299.795,30,orientation,START,67.73,2032
296.334,0,299.795,30,orientation,STOP,72.663,2180
296.334,0,299.795,30,orientation,START,73.763,2213
296.334,0,299.795,30,orientation,STOP,75.03,2251
296.334,0,299.795,30,orientation,START,76.197,2286
